Index,ex_scene_encode,ex_scene_size,ex_object_encode,ex_object_size,ex_target_pos,ex_condition_encode,ex_lure,ex_lure_size,ex_lure_pos,ex_new,ex_new_scene_size,jitter_ITI,thisN,thisTrialN,thisRepN,slider_example.response,slider_example.rt,key_ex_rate.keys,key_ex_rate.rt,key_ex_rate.duration,Scene,Scene_Size,Condition_Encode,Object_Encode,Object_Size,Condition_Old,Correct_Key_Old,Obj_Lure,Lure_size,Target_pos,Lure_pos,Correct_key_AFC,slider_cong.response,slider_cong.rt,key_rate.keys,key_rate.rt,key_rate.duration,ex_scene_old_new,scene_size,condition_encode,key_ex_old.keys,key_ex_old.rt,key_ex_old.duration,key_item.keys,key_item.corr,key_item.rt,key_item.duration,key_ex_2AFC.keys,key_ex_2AFC.rt,key_ex_2AFC.duration,key_2AFC.keys,key_2AFC.corr,key_2AFC.rt,key_2AFC.duration,exemplo_PAL.thisRepN,exemplo_PAL.thisTrialN,exemplo_PAL.thisN,exemplo_PAL.thisIndex,trial_encode.thisRepN,trial_encode.thisTrialN,trial_encode.thisN,trial_encode.thisIndex,trial_ex_old.thisRepN,trial_ex_old.thisTrialN,trial_ex_old.thisN,trial_ex_old.thisIndex,trial_item.thisRepN,trial_item.thisTrialN,trial_item.thisN,trial_item.thisIndex,trial_ex_2AFC.thisRepN,trial_ex_2AFC.thisTrialN,trial_ex_2AFC.thisN,trial_ex_2AFC.thisIndex,trial_asso.thisRepN,trial_asso.thisTrialN,trial_asso.thisN,trial_asso.thisIndex,thisRow.t,notes,Welcome.started,text_hi.started,key_welcome.started,Welcome.stopped,Explanation_PAL.started,text_Explain_PAL.started,key_explain_PAL.started,Explanation_PAL.stopped,Explain_Rating.started,text_explain_rate.started,key_explain_rate.started,Explain_Rating.stopped,blank.started,image_blank.started,cross_25.started,cross_25.stopped,image_blank.stopped,blank.stopped,Example_PAL.started,image_ex_scene.started,image_ex_object.started,slider_example.started,text_example.started,key_ex_rate.started,slider_example.stopped,text_example.stopped,key_ex_rate.stopped,Example_PAL.stopped,exemplo_PAL.slider_example.response,exemplo_PAL.slider_example.rt,exemplo_PAL.key_ex_rate.keys,exemplo_PAL.key_ex_rate.rt,exemplo_PAL.key_ex_rate.duration,Start_PAL.started,text_end_ex.started,text_start_PAL.started,key_start_PAL.started,text_end_ex.stopped,Start_PAL.stopped,key_start_PAL.keys,key_start_PAL.rt,key_start_PAL.duration,Encode.started,image_scene_encode.started,image_object_encode.started,text_rating.started,slider_cong.started,key_rate.started,text_rating.stopped,slider_cong.stopped,key_rate.stopped,Encode.stopped,trial_encode.slider_cong.response,trial_encode.slider_cong.rt,trial_encode.key_rate.keys,trial_encode.key_rate.rt,trial_encode.key_rate.duration,image_scene_encode.stopped,image_object_encode.stopped,Pause_1.started,text_pausa1.started,Pause_1.stopped,n_trials_total,n_go,n_nogo,hits,misses,correct_rejections,false_alarms,go_accuracy_percent,nogo_accuracy_percent,mean_rt_go_correct,Go_Nogo_task.started,Go_Nogo_task.stopped,Cog_Oral.started,text_endGo.started,text_endGo.stopped,text_call.started,key_end_cog.started,text_call.stopped,Cog_Oral.stopped,key_end_cog.keys,key_end_cog.rt,key_end_cog.duration,Retomar.started,text_retomar.started,key_resp.started,Retomar.stopped,key_resp.keys,key_resp.rt,key_resp.duration,Explanation_Recall.started,text_explain_recall.started,key_continue.started,Explanation_Recall.stopped,Explain_Old_New.started,text_explain_old_new.started,key_explain_old.started,Explain_Old_New.stopped,key_explain_old.keys,key_explain_old.rt,key_explain_old.duration,Exemplo_old.started,image_exemplo_old_new.started,key_ex_old.started,text_ex_old.started,Exemplo_old.stopped,trial_ex_old.key_ex_old.keys,trial_ex_old.key_ex_old.rt,trial_ex_old.key_ex_old.duration,Start_Recall.started,text_start_recall.started,key_start_recall.started,Start_Recall.stopped,key_start_recall.keys,key_start_recall.rt,key_start_recall.duration,Old_New_Task.started,image_old_new.started,key_item.started,text_item.started,Old_New_Task.stopped,trial_item.key_item.keys,trial_item.key_item.corr,trial_item.key_item.rt,trial_item.key_item.duration,image_old_new.stopped,key_item.stopped,text_item.stopped,End_Old_New.started,text_end_item.started,key_resp_2.started,End_Old_New.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,Explain_2AFC.started,text_explain_2afc.started,key_end_explain_2afc.started,Explain_2AFC.stopped,key_end_explain_2afc.keys,key_end_explain_2afc.rt,key_end_explain_2afc.duration,Exemplo_2AFC.started,image_ex_2AFC.started,image_ex_target.started,image_ex_lure.started,key_ex_2AFC.started,Exemplo_2AFC.stopped,trial_ex_2AFC.key_ex_2AFC.keys,trial_ex_2AFC.key_ex_2AFC.rt,trial_ex_2AFC.key_ex_2AFC.duration,trial_2AFC.started,image_scene_2AFC.started,key_2AFC.started,image_target.started,image_lure.started,trial_2AFC.stopped,trial_asso.key_2AFC.keys,trial_asso.key_2AFC.corr,trial_asso.key_2AFC.rt,trial_asso.key_2AFC.duration,end.started,text_end.started,end.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03485689999979513,0.03746399999909045,0.03746399999909045,18.488274399998772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FA2804,001,2026-04-28_13h14.14.014,SEED,2024.2.5,61.93135404803123,2026-04-28 13h16.07.102570 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.488297099998817,18.50352649999877,20.503793699999733,76.00439969999934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FA2804,001,2026-04-28_13h14.14.014,SEED,2024.2.5,61.93135404803123,2026-04-28 13h16.07.102570 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.00441919999867,76.01824370000031,78.00674330000038,97.13986859999932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FA2804,001,2026-04-28_13h14.14.014,SEED,2024.2.5,61.93135404803123,2026-04-28 13h16.07.102570 +0100,
Ex2,Scenes_Dataset/painting_workshop_A.jpg,"(600, 450)",Objects_Dataset/fish_hook.png,"(130, 200)","(300, 200)",incongruent,Objects_Dataset/barrier.png,"(300, 300)","(300, -200)",Scenes_Dataset/athletics_track_A,"(600, 450)",2.5,0,0,0,None,None,num_1,0.8024767999995674,0.1280830000014248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,97.15441979999923,,,,,,,,,,,,,,97.14424009999857,97.15441979999923,99.40408810000008,99.65479579999919,99.65479579999919,99.63916429999881,99.65231370000038,99.65479579999919,99.65479579999919,102.1552157999995,102.1552157999995,102.1552157999995,104.65275519999886,104.65275519999886,104.65275519999886,104.65413009999975,None,None,num_1,0.8024767999995674,0.1280830000014248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FA2804,001,2026-04-28_13h14.14.014,SEED,2024.2.5,61.93135404803123,2026-04-28 13h16.07.102570 +0100,
Ex4,Scenes_Dataset/river_B.jpg,"(600, 450)",Objects_Dataset/drone.png,"(300, 144)","(300, 200)",congruent,Objects_Dataset/fish_hook.png,"(130, 200)","(300, -200)",None,None,2.5,1,1,0,None,None,num_2,1.0260048999989522,0.14392190000035043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,,,,,104.668842699999,,,,,,,,,,,,,,104.65462490000027,104.668842699999,106.90223080000032,107.15233119999903,107.17328230000021,107.1530445999997,107.1705282999992,107.17328230000021,107.17328230000021,109.65184219999901,109.65184219999901,109.65184219999901,112.15239420000034,112.15239420000034,112.15239420000034,112.17081759999928,None,None,num_2,1.0260048999989522,0.14392190000035043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FA2804,001,2026-04-28_13h14.14.014,SEED,2024.2.5,61.93135404803123,2026-04-28 13h16.07.102570 +0100,
Ex1,Scenes_Dataset/sky_A.jpg,"(600, 398)",Objects_Dataset/hang_glider.png,"(450, 275)","(300, -200)",congruent,Objects_Dataset/drone.png,"(300, 144)","(300, 200)",Scenes_Dataset/temple_A.jpg,"(600, 358)",2,2,2,0,None,None,num_3,0.7184804999997141,0.16801119999945513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,0,,,,,,,,,,,,,,,,,,,,,112.18577379999988,,,,,,,,,,,,,,112.17125759999908,112.18577379999988,114.4023073999997,114.66073750000032,114.18558649999977,114.63615930000014,114.65771139999924,114.66073750000032,114.66073750000032,117.13536260000001,117.13536260000001,117.13536260000001,119.63567150000017,119.63567150000017,119.63567150000017,119.65373929999987,None,None,num_3,0.7184804999997141,0.16801119999945513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FA2804,001,2026-04-28_13h14.14.014,SEED,2024.2.5,61.93135404803123,2026-04-28 13h16.07.102570 +0100,
Ex3,Scenes_Dataset/cellars_A.jpg,"(600, 399)",Objects_Dataset/barrier.png,"(300, 300)","(300, -200)",incongruent,Objects_Dataset/hang_glider.png,"(450, 275)","(300, 200)",None,None,3,3,3,0,None,None,num_1,0.27765249999902153,0.11191010000038659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,2,,,,,,,,,,,,,,,,,,,,,119.66953029999968,,,,,,,,,,,,,,119.65412189999915,119.66953029999968,121.88842079999995,122.15247829999862,122.6707050999994,122.65294910000011,122.66761149999911,122.6707050999994,122.6707050999994,125.15216650000002,125.15216650000002,125.15216650000002,127.6526173000002,127.6526173000002,127.6526173000002,127.65416410000034,None,None,num_1,0.27765249999902153,0.11191010000038659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FA2804,001,2026-04-28_13h14.14.014,SEED,2024.2.5,61.93135404803123,2026-04-28 13h16.07.102570 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.65435400000024,127.66926160000003,129.15254490000007,129.15254490000007,129.16919069999858,133.23636869999973,space,4.077600299999176,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FA2804,001,2026-04-28_13h14.14.014,SEED,2024.2.5,61.93135404803123,2026-04-28 13h16.07.102570 +0100,
7,,,,,,,,,,,,2.3,0,0,0,,,,,,Scenes_Dataset/snow_B.jpg,"(600, 450)",Congruent,Objects_Dataset/wool_cap.png,"(250, 250)",old,left,Objects_Dataset/eskimo_coat.png,"(300, 300)","(300, -200)","(300, 200)",down,None,None,num_3,0.2348586999996769,0.16788619999897492,,,,,,,,,,,,,,,,,,,,,,0,0,0,6,,,,,,,,,,,,,,,,,133.26431439999942,,,,,,,,,,,,,,133.26251359999878,133.26431439999942,135.48607749999974,135.74387360000037,135.56941769999867,135.72002549999888,,,,,,,,,,,,,,,,,,,,,,,,,135.741297999999,135.74387360000037,135.74387360000037,138.21909199999936,138.21909199999936,138.21909199999936,140.72024859999874,140.72024859999874,140.72024859999874,140.72107200000028,None,None,num_3,0.2348586999996769,0.16788619999897492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FA2804,001,2026-04-28_13h14.14.014,SEED,2024.2.5,61.93135404803123,2026-04-28 13h16.07.102570 +0100,
10,,,,,,,,,,,,2.45,1,1,0,,,,,,Scenes_Dataset/toy_store_B.jpg,"(600, 415)",Congruent,Objects_Dataset/doll.png,"(191, 300)",old,left,Objects_Dataset/abacus.png,"(185, 200)","(300, -200)","(300, 200)",down,None,None,num_3,0.3994020999998611,0.20011130000057165,,,,,,,,,,,,,,,,,,,,,,0,1,1,9,,,,,,,,,,,,,,,,,140.73607639999864,,,,,,,,,,,,,,140.72138799999993,140.73607639999864,142.9694999000003,143.2266295999998,143.18606480000017,143.2032698999992,,,,,,,,,,,,,,,,,,,,,,,,,143.2238354000001,143.2266295999998,143.2266295999998,145.70260079999935,145.70260079999935,145.70260079999935,148.20298339999863,148.20298339999863,148.20298339999863,148.22145809999893,None,None,num_3,0.3994020999998611,0.20011130000057165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FA2804,001,2026-04-28_13h14.14.014,SEED,2024.2.5,61.93135404803123,2026-04-28 13h16.07.102570 +0100,
