Index,ex_scene_encode,ex_scene_size,ex_object_encode,ex_object_size,ex_target_pos,ex_condition_encode,ex_lure,ex_lure_size,ex_lure_pos,ex_new,ex_new_scene_size,jitter_ITI,thisN,thisTrialN,thisRepN,slider_example.response,slider_example.rt,key_ex_rate.keys,key_ex_rate.rt,key_ex_rate.duration,Scene,Scene_Size,Condition_Encode,Object_Encode,Object_Size,Condition_Old,Correct_Key_Old,Obj_Lure,Lure_size,Target_pos,Lure_pos,Correct_key_AFC,slider_cong.response,slider_cong.rt,key_rate.keys,key_rate.rt,key_rate.duration,ex_scene_old_new,scene_size,condition_encode,key_ex_old.keys,key_ex_old.rt,key_ex_old.duration,key_item.keys,key_item.corr,key_item.rt,key_item.duration,key_ex_2AFC.keys,key_ex_2AFC.rt,key_ex_2AFC.duration,key_2AFC.keys,key_2AFC.corr,key_2AFC.rt,key_2AFC.duration,exemplo_PAL.thisRepN,exemplo_PAL.thisTrialN,exemplo_PAL.thisN,exemplo_PAL.thisIndex,trial_encode.thisRepN,trial_encode.thisTrialN,trial_encode.thisN,trial_encode.thisIndex,trial_ex_old.thisRepN,trial_ex_old.thisTrialN,trial_ex_old.thisN,trial_ex_old.thisIndex,trial_item.thisRepN,trial_item.thisTrialN,trial_item.thisN,trial_item.thisIndex,trial_ex_2AFC.thisRepN,trial_ex_2AFC.thisTrialN,trial_ex_2AFC.thisN,trial_ex_2AFC.thisIndex,trial_asso.thisRepN,trial_asso.thisTrialN,trial_asso.thisN,trial_asso.thisIndex,thisRow.t,notes,Welcome.started,text_hi.started,key_welcome.started,Welcome.stopped,Explanation_PAL.started,text_Explain_PAL.started,key_explain_PAL.started,Explanation_PAL.stopped,Explain_Rating.started,text_explain_rate.started,key_explain_rate.started,Explain_Rating.stopped,blank.started,image_blank.started,cross_25.started,cross_25.stopped,image_blank.stopped,blank.stopped,Example_PAL.started,image_ex_scene.started,image_ex_object.started,slider_example.started,text_example.started,key_ex_rate.started,slider_example.stopped,text_example.stopped,key_ex_rate.stopped,Example_PAL.stopped,exemplo_PAL.slider_example.response,exemplo_PAL.slider_example.rt,exemplo_PAL.key_ex_rate.keys,exemplo_PAL.key_ex_rate.rt,exemplo_PAL.key_ex_rate.duration,Start_PAL.started,text_end_ex.started,text_start_PAL.started,key_start_PAL.started,text_end_ex.stopped,Start_PAL.stopped,key_start_PAL.keys,key_start_PAL.rt,key_start_PAL.duration,Encode.started,image_scene_encode.started,image_object_encode.started,text_rating.started,slider_cong.started,key_rate.started,text_rating.stopped,slider_cong.stopped,key_rate.stopped,Encode.stopped,trial_encode.slider_cong.response,trial_encode.slider_cong.rt,trial_encode.key_rate.keys,trial_encode.key_rate.rt,trial_encode.key_rate.duration,image_scene_encode.stopped,image_object_encode.stopped,Pause_1.started,text_pausa1.started,Pause_1.stopped,n_trials_total,n_go,n_nogo,hits,misses,correct_rejections,false_alarms,go_accuracy_percent,nogo_accuracy_percent,mean_rt_go_correct,Go_Nogo_task.started,Go_Nogo_task.stopped,Cog_Oral.started,text_endGo.started,text_call.started,text_endGo.stopped,key_end_cog.started,text_call.stopped,Cog_Oral.stopped,key_end_cog.keys,key_end_cog.rt,key_end_cog.duration,Retomar.started,text_retomar.started,key_resp.started,Retomar.stopped,key_resp.keys,key_resp.rt,key_resp.duration,Explanation_Recall.started,text_explain_recall.started,key_continue.started,Explanation_Recall.stopped,Explain_Old_New.started,text_explain_old_new.started,key_explain_old.started,Explain_Old_New.stopped,key_explain_old.keys,key_explain_old.rt,key_explain_old.duration,Exemplo_old.started,image_exemplo_old_new.started,key_ex_old.started,text_ex_old.started,image_exemplo_old_new.stopped,key_ex_old.stopped,text_ex_old.stopped,Exemplo_old.stopped,trial_ex_old.key_ex_old.keys,trial_ex_old.key_ex_old.rt,trial_ex_old.key_ex_old.duration,Start_Recall.started,text_start_recall.started,key_start_recall.started,Start_Recall.stopped,key_start_recall.keys,key_start_recall.rt,key_start_recall.duration,Old_New_Task.started,image_old_new.started,key_item.started,text_item.started,image_old_new.stopped,key_item.stopped,text_item.stopped,Old_New_Task.stopped,trial_item.key_item.keys,trial_item.key_item.corr,trial_item.key_item.rt,trial_item.key_item.duration,End_Old_New.started,text_end_item.started,key_resp_2.started,End_Old_New.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,Explain_2AFC.started,text_explain_2afc.started,key_end_explain_2afc.started,Explain_2AFC.stopped,key_end_explain_2afc.keys,key_end_explain_2afc.rt,key_end_explain_2afc.duration,Exemplo_2AFC.started,image_ex_2AFC.started,image_ex_target.started,image_ex_lure.started,key_ex_2AFC.started,Exemplo_2AFC.stopped,trial_ex_2AFC.key_ex_2AFC.keys,trial_ex_2AFC.key_ex_2AFC.rt,trial_ex_2AFC.key_ex_2AFC.duration,trial_2AFC.started,image_scene_2AFC.started,key_2AFC.started,image_target.started,image_lure.started,trial_2AFC.stopped,trial_asso.key_2AFC.keys,trial_asso.key_2AFC.corr,trial_asso.key_2AFC.rt,trial_asso.key_2AFC.duration,image_scene_2AFC.stopped,key_2AFC.stopped,image_target.stopped,image_lure.stopped,end.started,text_end.started,end.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.030735399999684887,0.03319519999968179,0.03319519999968179,2.4268811000001733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LP2804,001,2026-04-28_11h04.03.029,SEED,2024.2.5,None,2026-04-28 11h07.28.089256 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4269039999999222,2.4412929000000076,4.429494199999681,28.57809670000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LP2804,001,2026-04-28_11h04.03.029,SEED,2024.2.5,None,2026-04-28 11h07.28.089256 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.578115700000126,28.594601499999953,30.591651499999898,47.761619099999734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LP2804,001,2026-04-28_11h04.03.029,SEED,2024.2.5,None,2026-04-28 11h07.28.089256 +0100,
Ex3,Scenes_Dataset/cellars_A.jpg,"(600, 399)",Objects_Dataset/barrier.png,"(300, 300)","(300, -200)",incongruent,Objects_Dataset/hang_glider.png,"(450, 275)","(300, 200)",None,None,3,0,0,0,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,2,,,,,,,,,,,,,,,,,,,,,47.778112500000134,,,,,,,,,,,,,,47.765817499999685,47.778112500000134,50.01305589999993,50.277670800000124,50.778375799999594,50.76109699999961,50.7749915000004,50.778375799999594,50.778375799999594,53.27858399999968,53.27858399999968,53.27858399999968,55.77559670000028,55.77559670000028,55.77559670000028,55.77669419999984,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LP2804,001,2026-04-28_11h04.03.029,SEED,2024.2.5,None,2026-04-28 11h07.28.089256 +0100,
Ex1,Scenes_Dataset/sky_A.jpg,"(600, 398)",Objects_Dataset/hang_glider.png,"(450, 275)","(300, -200)",congruent,Objects_Dataset/drone.png,"(300, 144)","(300, 200)",Scenes_Dataset/temple_A.jpg,"(600, 358)",2,1,1,0,None,None,num_3,0.8290370000004259,0.10411859999931039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,55.79243349999979,,,,,,,,,,,,,,55.77704199999971,55.79243349999979,58.02786829999968,58.29589610000039,57.7923651000001,58.27614209999956,58.292839699999604,58.29589610000039,58.29589610000039,60.77863799999977,60.77863799999977,60.77863799999977,63.275754100000086,63.275754100000086,63.275754100000086,63.29414480000014,None,None,num_3,0.8290370000004259,0.10411859999931039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LP2804,001,2026-04-28_11h04.03.029,SEED,2024.2.5,None,2026-04-28 11h07.28.089256 +0100,
Ex4,Scenes_Dataset/river_B.jpg,"(600, 450)",Objects_Dataset/drone.png,"(300, 144)","(300, 200)",congruent,Objects_Dataset/fish_hook.png,"(130, 200)","(300, -200)",None,None,2.5,2,2,0,None,None,num_2,0.8107511999996859,0.14426610000009532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,3,,,,,,,,,,,,,,,,,,,,,63.30912819999958,,,,,,,,,,,,,,63.29459380000026,63.30912819999958,65.5259188,65.77612669999962,65.81217300000026,65.79343750000044,65.80943519999983,65.81217300000026,65.81217300000026,68.30887429999984,68.30887429999984,68.30887429999984,70.79280730000028,70.79280730000028,70.79280730000028,70.81054500000027,None,None,num_2,0.8107511999996859,0.14426610000009532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LP2804,001,2026-04-28_11h04.03.029,SEED,2024.2.5,None,2026-04-28 11h07.28.089256 +0100,
Ex2,Scenes_Dataset/painting_workshop_A.jpg,"(600, 450)",Objects_Dataset/fish_hook.png,"(130, 200)","(300, 200)",incongruent,Objects_Dataset/barrier.png,"(300, 300)","(300, -200)",Scenes_Dataset/athletics_track_A,"(600, 450)",2.5,3,3,0,None,None,num_1,1.1028253000004042,0.12781079999967915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,1,,,,,,,,,,,,,,,,,,,,,70.82609909999974,,,,,,,,,,,,,,70.8109985000001,70.82609909999974,73.0425722,73.29254729999957,73.33600469999965,73.30956779999997,73.33336169999984,73.33600469999965,73.33600469999965,75.8089057999996,75.8089057999996,75.8089057999996,78.30919840000024,78.30919840000024,78.30919840000024,78.32696599999963,None,None,num_1,1.1028253000004042,0.12781079999967915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LP2804,001,2026-04-28_11h04.03.029,SEED,2024.2.5,None,2026-04-28 11h07.28.089256 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.32730970000011,78.34261659999993,79.8097816999998,79.8097816999998,79.8428584000003,142.11140390000037,space,62.29409050000049,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LP2804,001,2026-04-28_11h04.03.029,SEED,2024.2.5,None,2026-04-28 11h07.28.089256 +0100,
42,,,,,,,,,,,,2.75,0,0,0,,,,,,Scenes_Dataset/hut_A.jpg,"(600, 384)",Incongruent,Objects_Dataset/sled_retouched.png,"(450, 286)",old,left,Objects_Dataset/stapler.png,"(250, 178)","(300, 200)","(300, -200)",up,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,41,,,,,,,,,,,,,,,,,142.1395220000004,,,,,,,,,,,,,,142.1376105999998,142.1395220000004,144.36058539999976,144.61039110000002,144.9003885000002,144.87774050000007,,,,,,,,,,,,,,,,,,,,,,,,,144.8964388000004,144.9003885000002,144.9003885000002,147.37665509999988,147.37665509999988,147.37665509999988,149.8772067,149.8772067,149.8772067,149.8965301999997,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LP2804,001,2026-04-28_11h04.03.029,SEED,2024.2.5,None,2026-04-28 11h07.28.089256 +0100,
16,,,,,,,,,,,,2.75,1,1,0,,,,,,Scenes_Dataset/hair_salon_A.jpg,"(600, 386)",Congruent,Objects_Dataset/hairdryer_retouched.png,"(250, 241)",old,left,Objects_Dataset/comb.png,"(250, 250)","(300, -200)","(300, 200)",down,None,None,num_3,0.8959740000000238,0.13592110000081448,,,,,,,,,,,,,,,,,,,,,,0,1,1,15,,,,,,,,,,,,,,,,,149.91082189999997,,,,,,,,,,,,,,149.8970061,149.91082189999997,152.12758060000033,152.37750210000013,152.66974039999968,152.64487069999996,,,,,,,,,,,,,,,,,,,,,,,,,152.66530460000013,152.66974039999968,152.66974039999968,155.1436162,155.1436162,155.1436162,157.66061509999963,157.66061509999963,157.66061509999963,157.66144650000024,None,None,num_3,0.8959740000000238,0.13592110000081448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LP2804,001,2026-04-28_11h04.03.029,SEED,2024.2.5,None,2026-04-28 11h07.28.089256 +0100,
