trial,trial_type,stimulus_type,stimulus_description,image_filename,go_type_index,response,rt,correct,timestamp
1,go,Go_stim_1,Cruz,Go_stim_1.png,0.0,space,0.4789995999999519,1,2026-03-06_15h54.16.048
2,go,Go_stim_2,Barra lateral para a esquerda,Go_stim_2.png,1.0,space,0.5636831000010716,1,2026-03-06_15h54.17.817
3,go,Go_stim_3,Barra lateral para a direita,Go_stim_3.png,2.0,space,0.4226710999992065,1,2026-03-06_15h54.19.313
4,go,Go_stim_4,Barra vertical curta,Go_stim_4.png,3.0,space,0.5740607000007003,1,2026-03-06_15h54.20.993
5,go,Go_stim_1,Cruz,Go_stim_1.png,0.0,space,0.39844989999983227,1,2026-03-06_15h54.22.369
6,go,Go_stim_2,Barra lateral para a esquerda,Go_stim_2.png,1.0,space,0.492269700000179,1,2026-03-06_15h54.24.089
7,go,Go_stim_3,Barra lateral para a direita,Go_stim_3.png,2.0,space,0.4303311000003305,1,2026-03-06_15h54.25.561
8,go,Go_stim_4,Barra vertical curta,Go_stim_4.png,3.0,space,0.475633399999424,1,2026-03-06_15h54.27.121
9,go,Go_stim_1,Cruz,Go_stim_1.png,0.0,space,0.45214519999899494,1,2026-03-06_15h54.28.648
10,go,Go_stim_2,Barra lateral para a esquerda,Go_stim_2.png,1.0,space,0.5208628000000317,1,2026-03-06_15h54.30.049
11,go,Go_stim_4,Barra vertical curta,Go_stim_4.png,3.0,space,0.3992256000001362,1,2026-03-06_15h54.31.753
12,go,Go_stim_2,Barra lateral para a esquerda,Go_stim_2.png,1.0,space,0.39857480000137,1,2026-03-06_15h54.33.209
13,nogo,NoGo_stim,Barra vertical longa,NoGo_stim.png,,space,0.4028330000001006,0,2026-03-06_15h54.34.737
14,go,Go_stim_4,Barra vertical curta,Go_stim_4.png,3.0,space,0.6615424999999959,1,2026-03-06_15h54.36.489
15,nogo,NoGo_stim,Barra vertical longa,NoGo_stim.png,,,,1,2026-03-06_15h54.38.641
16,go,Go_stim_4,Barra vertical curta,Go_stim_4.png,3.0,space,0.4658454000000347,1,2026-03-06_15h54.40.248
17,go,Go_stim_1,Cruz,Go_stim_1.png,0.0,space,0.50069110000004,1,2026-03-06_15h54.41.993
18,go,Go_stim_1,Cruz,Go_stim_1.png,0.0,space,0.5611508000001777,1,2026-03-06_15h54.43.609
19,go,Go_stim_1,Cruz,Go_stim_1.png,0.0,space,0.6212864000008267,1,2026-03-06_15h54.45.273
